product_id,name,description,price,stock_quantity,created_at,updated_at
1,Apple iPhone 15,Latest model with advanced features,999.99,50,2024-01-01 00:00:00,2024-01-01 00:00:00
2,Samsung Galaxy S24,Flagship Android smartphone,899.99,40,2024-02-15 00:00:00,2024-02-15 00:00:00
3,Dell XPS 13,High performance laptop,1299.99,30,2024-03-01 00:00:00,2024-03-01 00:00:00
4,Lenovo ThinkPad,Professional business laptop,1099.99,20,2024-04-10 00:00:00,2024-04-10 00:00:00
5,MacBook Pro,Apple laptop with M2 chip,2399.99,15,2024-05-05 00:00:00,2024-05-05 00:00:00
6,Canon EOS R5,High-end digital camera,3899.99,25,2024-06-15 00:00:00,2024-06-15 00:00:00
7,Sony WH-1000XM5,Noise-cancelling headphones,349.99,100,2024-07-01 00:00:00,2024-07-01 00:00:00
8,Apple AirPods Pro,Wireless earbuds,249.99,200,2024-08-01 00:00:00,2024-08-01 00:00:00
9,Nintendo Switch,Portable gaming console,299.99,80,2024-09-01 00:00:00,2024-09-01 00:00:00
10,GoPro Hero 11,Action camera for adventure,499.99,60,2024-10-10 00:00:00,2024-10-10 00:00:00
