order_id,user_id,product_ids,coupon_ids,order_time
101,1,"[1, 3, 5]","[3, 7]",2024-01-05 12:30:00
102,2,"[2, 6, 8]","[8, 2, 6]",2024-11-25 08:45:00
103,3,"[3, 7]","[5, 10]",2024-03-10 14:00:00
104,4,"[4, 9, 6]","[1, 9]",2024-06-02 11:00:00
105,5,"[5, 10]","[9, 4]",2025-01-01 09:00:00
106,6,"[6, 2, 3]","[2, 7, 3]",2024-01-02 16:20:00
107,7,"[7, 8]","[7, 1]",2024-06-10 13:10:00
108,8,"[8, 9, 4]","[10, 5, 8]",2024-09-05 18:00:00
109,9,"[9, 2]","[4, 6]",2024-04-02 10:00:00
110,10,"[10, 1, 3]","[6, 3, 2]",2023-12-25 19:45:00
